state_region,wind_energy_mw,solar_energy_mw,other_res_mw,total_mw,cumulative_wind_mw,cumulative_solar_mw,cumulative_other_res_mw,cumulative_total_mw
   / All India,66.87,178.86251072912162,20.664966039833857,322.44788727246555,1455.29,3195.187856305391,366.27716627181826,5670.3932
 / Delhi,0.0,0.0,0.94,0.94,0.0,0.0,33.07,33.07
 / Haryana,0.0,0.76,2.04,2.8,0.0,10.88,44.95,55.83
  / Himachal Pradesh,0.0,0.13,3.58,3.71,0.0,3.5,80.44,83.94
 / Punjab,0.0,3.77,2.19,5.96,0.0,63.65,50.37,114.02
 / Rajasthan,27.18,152.91,0.66,180.75,397.62,3014.01,13.14,3424.77
  / Uttar Pradesh,0.0,11.49,0.0,11.49,0.0,197.83,0.0,197.83
 / Uttarakhand,0.0,0.46,0.47,0.93,0.0,7.99,11.25,19.24
 /Northern Region,27.18,169.52,9.88,206.58,397.62,3195.187856305391,233.22,3928.7
 / Chhattisgarh,0.0,3.37,1.0,4.37,0.0,75.58,24.3,99.88
 / Gujarat,121.25,62.28,0.2,183.73,1665.03,1274.3,2.4,2941.73
  / Madhya Pradesh,7.9,19.58,2.3,29.78,156.8,436.01,53.8,646.61
 / Maharashtra,4.8,22.45,0.0,27.25,261.8,476.34,0.0,738.14
 /Western Region,133.95,107.68,3.5,245.13,2083.63,2262.23,80.5,4426.36
  / Andhra Pradesh,14.9,23.91,0.0,38.81,332.88,468.01,0.0,800.89
 / Telangana,0.96,21.43,0.0,22.39,17.43,451.71,14.19,483.33
 / Karnataka,20.67,51.23,13.99,85.89,608.54,1054.19,303.17,1965.9
 / Kerala,0.2,1.21,0.0,1.41,7.22,31.83,0.0,39.05
 / Tamil Nadu,33.45,30.42,0.0,63.87,787.88,733.37,0.0,1521.25
 / Pondicherry,0.0,0.05,0.0,0.05,0.0,0.91,0.0,0.91
 /Southern Region,70.18,128.25,13.99,212.42,1753.95,2740.02,317.36,4811.33
 / Bihar,0.0,0.83,0.17,1.0,0.0,16.93,19.37,36.3
 / Odisha,0.0,2.35,0.43,2.78,0.0,50.8,11.02,61.82
  / West Bengal,0.0,0.0,0.54,0.54,0.0,0.0,13.2,13.2
 /Eastern Region,0.0,3.18,1.14,4.32,0.0,67.73,43.59,111.32
 / Assam,0.0,0.59,0.0,0.59,0.0,19.41,0.0,19.41
 / Mizoram,0.0,0.16,0.0,0.16,0.0,3.15,0.0,3.15
 / Tripura,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13
- /North-Eastern Region,0.0,0.75,0.0,0.75,0.0,22.69,0.0,22.69
  / All India,14.8672701251852,178.86251072912162,20.664966039833857,322.44788727246555,2570.6922662519737,3195.187856305391,366.27716627181826,5748.910909279285
 / Delhi,0.0,0.0,1.48,1.48,0.0,0.0,41.17,41.17
 / Haryana,0.0,0.64,1.55,2.19,0.0,13.65,33.54,47.19
  / Himachal Pradesh,0.0,0.11,4.11,4.22,0.0,2.56,132.64,135.2
 / Punjab,0.0,3.23,2.09,5.32,0.0,69.51,54.34,123.85
 / Rajasthan,2.01,119.57,0.59,122.17,144.12,3195.187856305391,13.0,3521.28
  / Uttar Pradesh,0.0,11.45,0.0,11.45,0.0,295.15,0.0,295.15
 / Uttarakhand,0.0,0.45,0.48,0.93,0.0,10.84,7.44,18.28
 /Northern Region,2.01,135.45,10.3,147.76,144.12,3195.187856305391,282.13,4182.12
 / Chhattisgarh,0.0,3.13,1.1,4.23,0.0,73.54,27.2,100.74
 / Gujarat,42.32,48.45,0.0,90.77,753.68,1303.39,2.6,2059.67
  / Madhya Pradesh,3.4,20.46,1.6,25.46,83.8,497.0,39.9,620.7
 / Maharashtra,18.4,20.1,0.0,38.5,257.7,497.2,0.0,754.9
 /Western Region,64.12,92.14,2.7,158.96,1095.18,2371.13,69.7,3536.01
  / Andhra Pradesh,5.37,6.54,0.0,11.91,180.39,453.88,0.0,634.27
 / Telangana,0.64,18.72,0.0,19.36,12.25,471.93,0.0,484.18
 / Karnataka,18.14,35.0,14.89,68.03,454.67,1024.67,313.66,1793.0
 / Kerala,0.08,0.91,0.0,0.99,3.6,33.18,0.0,36.78
 / Tamil Nadu,11.04,9.98,0.0,21.02,435.1,777.83,0.0,1212.93
 / Pondicherry,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
 /Southern Region,35.27,71.15,14.89,121.31,1086.01,2762.49,313.66,4162.16
 / Bihar,0.0,0.72,0.0,0.72,0.0,20.92,0.0,20.92
 / Odisha,0.0,2.18,0.94,3.12,0.0,60.1,27.32,87.42
  / West Bengal,0.0,0.0,0.56,0.56,0.0,0.0,13.48,13.48
 /Eastern Region,0.0,2.9,1.5,4.4,0.0,81.02,40.8,121.82
 / Assam,0.0,0.91,0.0,0.91,0.0,22.19,0.0,22.19
 / Mizoram,0.0,0.15,0.0,0.15,0.0,3.19,0.0,3.19
- /North-Eastern Region,0.0,1.06,0.0,1.06,0.0,25.52,0.0,25.52
  / All India,101.4,178.86251072912162,20.664966039833857,322.44788727246555,2325.31,3195.187856305391,366.27716627181826,5748.910909279285
 / Delhi,0.0,0.0,1.8,1.8,0.0,0.0,22.86,22.86
 / Haryana,0.0,0.59,2.5,3.09,0.0,9.74,31.12,40.86
  / Himachal Pradesh,0.0,0.07,2.98,3.05,0.0,1.6700000000000004,45.76,47.43
 / Punjab,0.0,3.3,1.67,4.97,0.0,52.02,24.35000000000001,76.37
